tweet,favorites,retweets,user,date,hour
"RT @endlife_cs: Veronika Bulková: „Lékaři neumí s ničím jiným, než s Excelem.“ Doplnil bych: „Nikdo neumí s ničím jiným, než s Excelem.“ #D…",0,1,VojtaRocek,22/11/2014,12
RT @jakubmracek: Chybovost zdravotnických diagnoz je až 20 %. Veronika Bulkova na #dataconf14,0,2,byFcz,22/11/2014,12
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,KristinaVotruba,22/11/2014,12
RT @paveljasek: Kniha 'Think Stats: Pravděpodobnost a statistika pro programátory' v českém překladu a zdarma: http://t.co/jehFliiNPJ #Data…,0,12,kepkap,22/11/2014,12
"Takze neni problem v nedostatku pokrocilych technologii ve zdravotnictvi, ale jejich koordinace a cena. #dataconf14",3,1,vojtano_k,22/11/2014,12
Nález - černá pánská rukavice :) k vyzvednutí v backstage na stole #DataConf14,0,0,dataconfcz,22/11/2014,12
"RT @edison23net: nemocnice evidentne nemaji programatory, kteri by umeli analysovat krivku… studenti informatiky, go for it! #dataconf14",0,1,jakubmracek,22/11/2014,12
@endlife_cs a 90 % ani to ne :/ #dataconf14,1,0,jakubmracek,22/11/2014,12
RT @paveljasek: Kniha 'Think Stats: Pravděpodobnost a statistika pro programátory' v českém překladu a zdarma: http://t.co/jehFliiNPJ #Data…,0,12,klokane,22/11/2014,12
"nemocnice evidentne nemaji programatory, kteri by umeli analysovat krivku… studenti informatiky, go for it! #dataconf14",5,1,edison23net,22/11/2014,12
"Veronika Bulková: „Lékaři neumí s ničím jiným, než s Excelem.“ Doplnil bych: „Nikdo neumí s ničím jiným, než s Excelem.“ #DataConf14",6,1,endlife_cs,22/11/2014,12
Chybovost zdravotnických diagnoz je až 20 %. Veronika Bulkova na #dataconf14,2,2,jakubmracek,22/11/2014,12
"#DataConf14 souhlasite, ze v analyza nestrukturovanych medicinskych dat je budoucnost mediciny?",3,0,h_onza,22/11/2014,12
"""Doktoři umí jenom s Excelem, s ničím jiným.""
Tak jestli s ním umí správně...
#dataconf14",2,0,XimaraQuerida,22/11/2014,12
"Priklad blbe prace s daty, ktera nas stoji cas, penize a potrebnou peci. #DataConf14 http://t.co/jIwztrfsLB",5,1,PetrTwo,22/11/2014,12
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,Belbobelbo,22/11/2014,12
"zdravotni sestry nemusi vlastne ani umet se starat o pacienta, staci jim umet vyplnovat zadanky na vysetreni a generovat data #dataconf14",1,0,edison23net,22/11/2014,12
"Vypada to, ze ve zdravotnictvi funguje brutalni vendor lock-in. Smutne. #dataconf14",3,0,vojtano_k,22/11/2014,12
